Issue_Description,Category,Subcategory,Assignment_group,Resolution_Notes
Performance issue in Oracle DB,Database,Oracle,Service Desk,"Performance issue in Oracle DB due high CPU usage in oracle DB due to inefficient query execution.
Resolution:
Execution plans optimized and indexes added.Post implementation system performance is normal."
webmail unable to access links,Password Reset,Webmail,Service Desk,"Issue:  webmail unable to access links

Resolution

1. Confirm the Email Provider:
Identified which email service you're using (e.g., Gmail, Outlook, Yahoo).

2. Initiate Password Reset:
Followed the specific password reset process for user email provider, which will take to recovery link.

Receiving the Email but Can't Access:
Verified the Link: Ensure the link in the reset email is valid and hasn't expired.
Clear Browser Cache/Cookies: Cached data can sometimes interfere with the reset process.

Able to open links in emails"
Poor Merge and Conflict Resolution,Inquiry_Help,Internal Application,Service Desk,Use third-party merge tools for conflict resolution. Migrate to a system like Git or TFVC with built-in merge tracking.
Lack of Atomic Commits,Inquiry_Help,Internal Application,Service Desk,"Avoid large check-in; break changes into smaller, manageable chunks. Sitch to a modern VCS Like GIT, which guarantees atomic commits"
File Corruption,Inquiry_Help,Internal Application,Service Desk,Use the Analyze.exe utility (included with sourcesafe) to detect and repair corruption. Restore from a backup if corruption is irreparable. Migrate to a modern version control system
Laptop keyboard randomly stops working,Hardware,Keyboard,Service Desk,"Troubleshooting steps:

Check for latest windows version, and keyboard drivers on your device
go to settings> windows update> update
go to device manager> keyboard> update the drivers

Search for find and fix keyboard problems on your device and run the troubleshooter to see if it can find any issues.

Also, connect an external keyboard to see if it stops working as well, if the external keyboard doesn't stop working then it is a hardware issue and you should get it replaced.

Replace Laptop
"
How to setup a Webex meeting,Inquiry_Help,Internal Application,Service Desk,Educated customer on how he can do it going forward and can avoid a call to the IT desk . Customer was happy with the same and no other issues reported .
subscription Traps,Inquiry_Help,Internal Application,Service Desk,"Use Revo Uninstaller to remove the cleaner and leftover files, Switch to free/open-source alternatives."
Malware Disguised as cleaners,Inquiry_Help,Internal Application,Service Desk,"Scan with Malwarebytes or HitmanPro, Download tools only from official sites, Stick to reputable software."
False Positives,Inquiry_Help,Internal Application,Service Desk,"Review files before deletion, Whitelist important folders, Use tools with granular control, Like Treesize to manually inspect storage."
Performance Degradation,Inquiry_Help,Internal Application,Service Desk,"Uninstall the problematic cleaner, User task Manager to disable unnecessary startup processes, Switch to lightweight tools"
Registry Corruption,Inquiry_Help,Internal Application,Service Desk,"Avoid registry cleaners unless absolutely necessary, Use system Restore or repair the OS  via sfc/scannow in Command Prompt, Reinstall affected software"
accidental Deletion of critical files,Inquiry_Help,Internal Application,Service Desk,"Restore from backups, Use system Restore to revert to a previous sate, Avoid aggressive cleaners, stick to trusted tools."
Outlook is not responding,Software,Email,Service Desk,"Checked network connectivity
Ran built in outlook repair and also cleared cache.
Rebuilt the user profile.

User confirmed the issue is resolved
"
The OS is experiencing slow performance,Software,Operating System,Service Desk,"Disabled unnecessary startup programs, cleared temp file and cache

User confirmed on the issue resolved"
MS Teams issue,Software,Operating System,Service Desk,"Issue:  MS Teams issue

Resolution:

>>Force closed Teams from Task Manager and relaunched
Issue persists
>>Reinstalled Teams desktop application

User was able to sign-in
Issue resolved
"
Audit Cost and Complexity,Inquiry_Help,Internal Application,Service Desk,Adopt turnkey SAML integrations and compliance tools to reduce audit Preparation time by up to 80%
Application crashes,Software,Operating System,Service Desk,"1. Checked application logs and reviewed system for error messages
2. Reinstalled the application updated to latest version
3. Restarted the laptop and the application is working"
Third-party system integration challenges,Inquiry_Help,Internal Application,Service Desk,Use pathlock or oracle Enterprise Data management to unify access policies and automate cross-application workflows
Limited User training and Data literacy,Inquiry_Help,Internal Application,Service Desk,Implement role-based training programs and self-service dashboards to empower users with intuitive reporting tools
Manual Spreadsheet-Based Audits,Inquiry_Help,Internal Application,Service Desk,"Deploy GRC platforms to automate audit trails, monitor controls and correlate logs into actionable dashboards"
Lack of Granular Access Certification,Inquiry_Help,Internal Application,Service Desk,Use pathlocks automated certification workflows with did do activity insights to identify and revoke unnecessary access
integration Broker Configuration Errors,Inquiry_Help,Internal Application,Service Desk,"Validate integration broker settings, ensure node authentication and configure portal context URI with terminating slashes"
Data Security and Privacy Gaps,Inquiry_Help,Internal Application,Service Desk,"Implement row level security, dynamic dta masking, and activity logging. Tools like pathlock enforce real-time redaction based on risk indicators"
Branch Issue -  MLA Error,Inquiry_Help,Internal Application,Service Desk,"Branch Issue - Link- MLA Error

- OTHER INFORMATION REQUIRED -
Application: Link
Error message if any:

Application Server: Link
T: Drive Mapping: Yes


- TROUBLESHOOTING -
1) How many users are affected?: 1
2) Has the user rebooted?: Ye
3)When is the user getting the error message? Today
4) Is it only this Workstation or have you tried on another? No
If user can work on other workstation provide that W/S detail?
5) N:/ ; M:/ ; T:/ and Q:/ drive are mapped on user's workstation? Yes
-as all the Drivers are not connected which is causing the MLA Error guided the user to double click on the network drives and service link is working now
-Link is not getting launched its not showing any error & remapped the T drive and issue got resolved"
Branch Issue - Application - Won't Launch,Inquiry_Help,Internal Application,Service Desk,"Branch Issue - Application - Won't Launch

- DESCRIPTION -

- OTHER INFORMATION REQUIRED -
Application: Notyet Know
Error message if any: Wont Launch

T: Drive Mapping: Yes

- TROUBLESHOOTING -
1) How many users are affected?: 1
2) Has the user rebooted?: yes
3)When is the user getting the error message? Wont launch
4) Is it only this Workstation or have you tried on another? No
If user can work on other workstation provide that W/S detail?
5) Is it issue particular to an application?
6) Is it issue occurring during a certain time frame/how frequently is the issue occurring?
7) Has user received this issue before? (Please include previous ticket no. if available)
8) When did the application last worked for user?
9) N:/ ; M:/ ; T:/ and Q:/ drive are mapped on user's workstation? T drive

User confirmation received:
Re Mapped T Drive and resolved the issue for the user"
inefficient reporting nd Data Extraction,Inquiry_Help,Internal Application,Service Desk,"User BI publisher or kibana for dynamic reporting, optimize SQL queries with indexing, and leverage third-party tools like spreadsheet server for real time GL to subledger drilldowns in excel"
OS not booting properly or experiencing performance issue,Software,Operating System,Service Desk,"The OS was not booting due to corrupt system file
Troubleshooting
Using recovery tools to perform system repair
Restarted the system post recovery, OS booted successfully, and performance issue were resolved."
Manual identity and Access governance,Inquiry_Help,Internal Application,Service Desk,"Automate identity governance with tools like path lock, which integrates with PeopleSoft to enforce least-privilege access, automate user onboarding/deprovisioning, and streamline access certifications using risk-based insights"
Outllok.com integration issues ,Inquiry_Help,Internal Application,Service Desk,Manually configure the account as IMAP/POP3 instead of using Microsoft account sync
MAPI errors ,Inquiry_Help,Internal Application,Service Desk,Run fixmapi.exe from the office installation directly 
Duplicate emails or contact  ,Inquiry_Help,Internal Application,Service Desk,Disable sync my device contacts in the teams mobile app
Search functionality failure ,Inquiry_Help,Internal Application,Service Desk,Rebuilt the search index via control panel> index o[ions> advanced> rebuild 
Mailbox storage limits ,Inquiry_Help,Internal Application,Service Desk,"Archive old emails to reduce mailbox size, delete unnescessary items and empty the deleted items folder "
Attachments not opening ,Inquiry_Help,Internal Application,Service Desk,Use OneDrive links for large files instated of direct attachments
Persistent password prompts,Inquiry_Help,Internal Application,Service Desk,Update accounts settings to ensure remember password is enabled 
Corrupted or oversized PST files. ,Inquiry_Help,Internal Application,Service Desk,"Use ScanPST.exe to repair minor corruption, Split large PST files by archiving old emails "
Internet connection issue,Network,IP Address,Service Desk,"Issue: Internet connection issue

Resolution:

Trouble shooting

Reset Network Settings:
Device: Reset user device's network settings.
Router: Reset the router to default settings (using the reset button on the back).

Update Firmware/Drivers:
Router: Update your router's firmware to the latest version.
Device: Ensured device drivers are up to date.

Issue resolved"
Outlook send or receive error ,Inquiry_Help,Internal Application,Service Desk,Verify SMTP/POP3 server settings and increase server timeout duration.  
Outlook crasher on startup,Inquiry_Help,Internal Application,Service Desk,"Launch outlook in safe mode, Disable problematic add-ins via file > options > add-ins > COM  add-ins> GO"
Viewpoint performance degradation. ,Inquiry_Help,Internal Application,Service Desk,Full remove using specialized tools 
Viewpoint browser hijacking and updates ,Inquiry_Help,Internal Application,Service Desk,"Di=sable auto updates, manually remove files. "
Viewpoint privacy data collection ,Inquiry_Help,Internal Application,Service Desk,Remove toolbar and use anti malware tools 
Infinite spinner in adobe collaborations ,Inquiry_Help,Internal Application,Service Desk,"Opt out during install, unstill via control panel "
Infinite spinner in adobe collaborations ,Inquiry_Help,Internal Application,Service Desk,Ensure stable internet connection 
Wifi connectivity,Network,VPN,Service Desk,"Issue:  Wifi connectivity


Resolution:

Reset Network Settings:
Device: Reset user device's network settings.

Check with Your ISP:
Outages: Contacted internet service provider (ISP) to check for any outages in your area.
Account Issues: Ensured account is active and there are no billing issues. 

ISP outage

Informed to contact ISP
Issue resolved.
"
Slow rendering in adobe compare tool ,Inquiry_Help,Internal Application,Service Desk,Optimize documents or wait for permeance patch 
Accessibility issues with JAWS in adobe,Inquiry_Help,Internal Application,Service Desk,"Await adobe fix, use alternative tools "
Internet is intermittent,Network,VPN,Service Desk,"Issue: Internet is intermittent

Resolution:

1. Verify Physical Connections:
Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 
Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

2. Restart Devices:
Modem/Router: Unplug and re-plug the modem and router to reset them.
Restart the device user is using (computer, phone, etc.). 

3. Check Wi-Fi Signal:
Moved closer to the router:
User using Wi-Fi, tried moving closer to the router to see if the signal strength improves.
Used a Wi-Fi extender:
Using a Wi-Fi extender to boost the signal to areas with poor coverage. 


Issue resolved"
Internet is slow,Network,Wireless,Network,"Issue:  Internet is slow

Resolution:

1. Verify Physical Connections:
Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 
Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

2. Restart Devices:
Modem/Router: Unplug and re-plug the modem and router to reset them.
Restart the device user is using (computer, phone, etc.). 

Issue resolved"
Accessibility limitations ,Inquiry_Help,Internal Application,Service Desk,Upgrade macOS or terminate the process
Activation failuers ,Inquiry_Help,Internal Application,Service Desk,Connect to the internet and sign in on the startup screen .
Connectivity Issues,Network,Wireless,Network,"Issue:

Resolution:
Verify Physical Connections:

Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 

Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

Issue resolved"
Crash with pitstop pro plugin,Inquiry_Help,Internal Application,Service Desk,Disable or uninstall the plugin and relaunch acrobat.
Font Display error,Inquiry_Help,Internal Application,Service Desk,User must Manually update via help> check for updates and restart their systems 
