Issue_Description,Category,Subcategory,Assignment_group,Resolution_Notes
Compatibility Issues,Inquiry_Help,Internal Application,,Use SSAPI for limited IDE integration. Migrate to Azure Repos for seamless integration with modern tools.
No Branching/Merging Support,Inquiry_Help,Internal Application,,"Use labels as pseudo-branches. Migrate to Git, which supports lightweight branching and merging."
Security Vulnerabilities,Inquiry_Help,Internal Application,,"Restrict repository access via Windows file permissions. Migrate to Azure Devops or GitHub, Which offer role-based access control."
Performance issue in Oracle DB,Database,Oracle,Service Desk,"Performance issue in Oracle DB due high CPU usage in oracle DB due to inefficient query execution.
Resolution:
Execution plans optimized and indexes added.Post implementation system performance is normal."
Performance issues,Inquiry_Help,Internal Application,,Split large repositories into smaller projects. Use SourceOffsite (Third-Party tool)for better remote access performance. Upgrade to a distributed system like Git or mercurial.
webmail unable to access links,Password Reset,Webmail,Service Desk,"Issue:  webmail unable to access links

Resolution

1. Confirm the Email Provider:
Identified which email service you're using (e.g., Gmail, Outlook, Yahoo).

2. Initiate Password Reset:
Followed the specific password reset process for user email provider, which will take to recovery link.

Receiving the Email but Can't Access:
Verified the Link: Ensure the link in the reset email is valid and hasn't expired.
Clear Browser Cache/Cookies: Cached data can sometimes interfere with the reset process.

Able to open links in emails"
Poor Merge and Conflict Resolution,Inquiry_Help,Internal Application,Service Desk,Use third-party merge tools for conflict resolution. Migrate to a system like Git or TFVC with built-in merge tracking.
Lack of Atomic Commits,Inquiry_Help,Internal Application,Service Desk,"Avoid large check-in; break changes into smaller, manageable chunks. Sitch to a modern VCS Like GIT, which guarantees atomic commits"
File Corruption,Inquiry_Help,Internal Application,Service Desk,Use the Analyze.exe utility (included with sourcesafe) to detect and repair corruption. Restore from a backup if corruption is irreparable. Migrate to a modern version control system
VDI-TCS BOL W10 Desktop Pool-Slowness-1 User-India,Inquiry_Help,,,
Laptop keyboard randomly stops working,Hardware,Keyboard,Service Desk,"Troubleshooting steps:

Check for latest windows version, and keyboard drivers on your device
go to settings> windows update> update
go to device manager> keyboard> update the drivers

Search for find and fix keyboard problems on your device and run the troubleshooter to see if it can find any issues.

Also, connect an external keyboard to see if it stops working as well, if the external keyboard doesn't stop working then it is a hardware issue and you should get it replaced.

Replace Laptop
"
VDI Issues - Unable to connect to Server - 1user - Clonakilty Branch County Cork,Inquiry_Help,,,
VDI  - Delete fx logix profile - 1 User - Remote,Inquiry_Help,,,
Reset ServiceNow Password ,Password Reset,Reset,,Reset ServiceNow Password 
Office Software missing in new Laptop,Software,,Service Desk,"Issue:  Office Software missing in new Laptop

Resolution:
Inserted the disk 
Installed MS office
entered Product key
activated MS office

Able to open all office applications.

Issue resolved"
VDI - login error: connection failed - 1 user - Remote,Inquiry_Help,,,
Request for a Wireless Mouse ,Hardware,Mouse,,Helped customer with raising a request for a wireless mouse . 
Help with resetting ServiceNow Password,Password Reset,Reset,,password reset done on ServiceNow console . 
Customer is unable to open his Webmail (Outlook) ,Inquiry_Help,Internal Application,,"Used the right link to open the Webmail and it worked fine , Customer was using a wrong link ."
How to setup a Webex meeting,Inquiry_Help,Internal Application,Service Desk,Educated customer on how he can do it going forward and can avoid a call to the IT desk . Customer was happy with the same and no other issues reported .
Unable to Browse using Chrome,Inquiry_Help,,,"Issue: Unable to Browse using Chrome

Resolution:
Checked if user connected to Internet - Yes
Tried Browsing using Edge - Yes

Tried Browsing using Chrome - unable to browse.

Checked the offline settings in Browser and unchecked it.
Able to Browse using Chrome.

Issue resolved"
subscription Traps,Inquiry_Help,Internal Application,Service Desk,"Use Revo Uninstaller to remove the cleaner and leftover files, Switch to free/open-source alternatives."
Malware Disguised as cleaners,Inquiry_Help,Internal Application,Service Desk,"Scan with Malwarebytes or HitmanPro, Download tools only from official sites, Stick to reputable software."
False Positives,Inquiry_Help,Internal Application,Service Desk,"Review files before deletion, Whitelist important folders, Use tools with granular control, Like Treesize to manually inspect storage."
Performance Degradation,Inquiry_Help,Internal Application,Service Desk,"Uninstall the problematic cleaner, User task Manager to disable unnecessary startup processes, Switch to lightweight tools"
Registry Corruption,Inquiry_Help,Internal Application,Service Desk,"Avoid registry cleaners unless absolutely necessary, Use system Restore or repair the OS  via sfc/scannow in Command Prompt, Reinstall affected software"
Install MS Office Suite,Inquiry_Help,,,"Steps performed:

>>Shared the executable file to user's system

Took remote
>>Logged in as admin
>>Installed Office
>>After installation, assisted user to sign with Email address on one of the Office applications

User confirmed resolution"
Assistance with adding shared Calendar,Inquiry_Help,,,"Took Remote

>>Opened Outlook->Calendar
>>In user's calendar, select Add.
>>Click Choose From Address Book.
>>Typed in the  email address of the person user wanted to add
>>Selected their name.
>>Clicked OK.

Needed calendar was added "
Getting unexpected Browser redirects/pop-ups,Inquiry_Help,,,"Steps performed

>>Advised user not to click on any links
>>Removed recently added browser extensions
>> Reset browser settings

>>Guided user to raise a Security ticket in-case the issue continues after this.

User confirmed ticket  closure"
Outlook installation on Mobile device,Inquiry_Help,,,"Steps performed

>> Assisted user to setup MS Authenticator
>> Installed and configured Company portal app 
>>Guided user to install Outlook from the Company portal
>>Assisted user to login to outlook on Mobile device"
Unable to connect to VPN,Inquiry_Help,,,">> Restarted the VPN application and reconnected to the server
Issue persisted
>>Updated Network drivers
>>User was able to connect to VPN"
VDI Issue,Network,,Service Desk,"Issue:  VDI issue

Resolution:
Restarted the machine and VDI, updated the policy multiple times still facing the issue."
Unable to print,Inquiry_Help,,,"Steps performed

>>Restarted the printer and checked all cable connections
>>Set printer as the default device
>>User test printed a paper and was good to go"
Microphone is not working,Hardware,,Service Desk,"Issue: Microphone is not working

Resolution:
>>Restarted Laptop
>>Disabled and enabled microphone for all apps
>>Uninstalled Audio drivers 
>> restarted laptop to reinstall drivers

Issue resolved"
VDI issue,Inquiry_Help,,Service Desk,"VDI Issue - 1 user - remote

User can't able to access the VDI facing freezing issue while accessing post credentials window

Issue/Error message: User can't able to access the VDI facing freezing issue while accessing post credentials window

Issue description: User can't able to access the VDI facing freezing issue while accessing post credentials window
Troubleshooting steps: Restarted the machine and VDI, updated the policy multiple times still facing the issue.
Screenshot if any: cant able to capture the screenshot as user is facing the issue while accesing tomVDI


Closure confirmation via (Teams/call/chat/email): Email

Issue Resolved (Yes/No/NA) : Yes

Closure Reason: user confirmed that the issue was self resolved, hence closing the ticket with user confirmation"
Unable to connect to Internet via LAN,Inquiry_Help,,,">> Asked user to change to different port and check
Issue persisted
>>Asked user if he could try a different cable
>>User did not have a different cable
>>Assisted user to connect to Wi-Fi and replace faulty the LAN cable"
Unable to connect to Internet,Inquiry_Help,,,">> Checked if user is able to access internet on other devices
>>User told he's unable to access internet on any device
>>Guided user to restart Modem and try
>>User was still unable to connect

Asked user to reach out to Local ISP"
Application access issue,Inquiry_Help,,Service Desk,"'- DESCRIPTION -
User name : AXXXA

- OTHER INFORMATION REQUIRED -
Application: Donttell
Error Message (if applicable):
Include Screenshot (if applicable) yes
Number of users impacted:

- TROUBLESHOOTING -
Has the user recently rebooted: yes
Does the application work on another PC for user: Yes
Is the issue occurring during a certain time frame: NA
Has the user received this issue before: NA
If so, how frequently is it occurring: NA
When did the application last work for the user: Na
When was the user migrated to Windows 10: NA

-User trying to access it for the first time and user got the user name from the line manager 
-Tried accessing it from different Laptop/desktop its working fine but only on this laptop its showing the attached error
-kindly check the access once"
accidental Deletion of critical files,Inquiry_Help,Internal Application,Service Desk,"Restore from backups, Use system Restore to revert to a previous sate, Avoid aggressive cleaners, stick to trusted tools."
Outlook is not responding,Software,,Service Desk,"Issue:  Outlook is not responding

Resolution:
Checked network connectivity
Ran built in outlook repair and cleared cache.
Rebuilt the user profile.

User confirmed the issue is resolved"
Unable to login to VDI,Inquiry_Help,,Service Desk,"Unable to login to VDI

- OTHER INFORMATION REQUIRED -
Application:
Error message if any: 
Application Server: 
Infocus Server: 
batchwaste Server:
T: Drive Mapping:

- TROUBLESHOOTING -
Reset VDI Fixed the issue"
Unable to access sharepoint files,Inquiry_Help,,,"Steps performed

>>Checked if user has access
>>User did not have access
>> Asked user to request access by reaching out to the sharepoint owner

User good to go
"
Unable to access Citrix,Software,,Software,"Issue: Unable to access Citrix

Resolution:
>> Checked user did not have Citrix receiver
>> Installed Receiver 4.12 for Windows from www.citrix.com
>> Ran the exe file and installed Citrix receiver
>>Assisted user to login to Citrix

Issue Resolved"
